Branch;Code Smells;Complexity;Cognitive Complexity;Duplication %;NCLOC;Tests;Test Success Rate %;Test Failures;Coverage %;Functions
copilot-claude45-few-learningblock;186;212;151;4.2;2505;97;100.0;0;58.7;125
main;166;169;136;5.5;2073;49;100.0;0;51.6;92
reference-learningblock;216;207;150;4.7;2432;85;100.0;0;57.8;120
copilot-claude45-zero-learningblock;178;200;143;4.6;2487;69;91.3;6;54.3;118
cursor-auto-zero-learningblock;178;207;149;4.9;2378;60;91.7;5;55.7;116
cursor-auto-few-learningblock;183;221;148;6.1;2398;61;96.7;2;55.4;132
reference-commentonblock;262;233;158;4.3;2684;142;100.0;0;60.2;137
copilot-claude45-zero-commentonblock;188;232;150;3.9;2858;102;98.0;2;59.9;143
copilot-claude45-few-commentonblock;204;249;158;4.2;2866;136;84.6;21;59.2;155
reference-notifyreviewer;169;204;154;4.6;2456;78;100.0;0;58.4;111
copilot-claude45-zero-notifyreviewer;177;188;160;5.3;2281;49;100.0;0;46.6;98
copilot-claude45-few-notifyreviewer;175;193;154;5.6;2351;75;33.3;50;16.6;105
cursor-auto-few-notifyreviewer;175;200;154;5.0;2353;51;100.0;0;49.5;109
cursor-auto-zero-exportreviewcatalog;172;241;184;4.8;2447;60;98.3;1;57.5;117
reference-exportreviewcatalog;164;171;137;5.5;2094;53;100.0;0;53.1;94
copilot-claude45-zero-exportreviewcatalog;185;235;194;4.5;2542;77;88.3;9;60.7;118
cursor-auto-few-exportreviewcatalog;166;216;173;5.1;2275;58;79.3;12;55.5;111
copilot-claude45-few-exportreviewcatalog;189;184;147;5.2;2168;74;93.2;5;56.4;99
cursor-auto-zero-notifyreviewer;166;169;136;5.5;2073;49;100.0;0;51.6;92
